#############################################;;;;;;;;;;;;;;x
#State Localisations - Africa;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ITA_1848;Eritrea;;;;;;;;;;;;;x;;
ETH_1864;Galla;;;;;;;;;;;;;x;;
ETH_1859;Shoa;;;;;;;;;;;;;x;;
ETH_1852;Gonder-Tigray;;;;;;;;;;;;;x;;
ETH_1855;Amhara;;;;;;;;;;;;;x;;
FRA_1875;Jibuti;;;;;;;;;;;;;x;;
ENG_1873;Adal;;;;;;;;;;;;;x;;
ITA_1868;Jubaland;;;;;;;;;;;;;x;;
ITA_1872;Somaliland;;;;;;;;;;;;;x;;
ENG_1846;Equatoria;;;;;;;;;;;;;x;;
GER_2029;North Swahili Coast;;;;;;;;;;;;;x;;
ENG_2048;Zanzibar;;;;;;;;;;;;;x;;
GER_2039;South Swahili Coast;;;;;;;;;;;;;x;;
GER_2034;Ruanda-Burundi;;;;;;;;;;;;;x;;
GER_2044;Usambara;;;;;;;;;;;;;x;;
GER_2043;Tanganyika;;;;;;;;;;;;;x;;
GER_2041;South Tanganyika;;;;;;;;;;;;;x;;
ENG_2067;Nyasaland;;;;;;;;;;;;;x;;
ENG_2012;Barotseland;;;;;;;;;;;;;x;;
POR_2064;Mocambique-Niassa;;;;;;;;;;;;;x;;
POR_2059;Zambezia-Sofala;;;;;;;;;;;;;x;;
POR_2054;Tete;;;;;;;;;;;;;x;;
POR_2049;Lourenço Marques;;;;;;;;;;;;;x;;
FRA_2123;Comoros-Mayotte;;;;;;;;;;;;;x;;
GER_2078;Hereroland;;;;;;;;;;;;;x;;
SAF_2083;Walvis Bay;;;;;;;;;;;;;x;;
GER_2084;Namaqualand;;;;;;;;;;;;;x;;
POR_2000;Cabinda;;;;;;;;;;;;;x;;
SPA_1955;Guinea Ecuatorial;;;;;;;;;;;;;x;;
GER_1956;Coastal Cameroons;;;;;;;;;;;;;x;;
GER_1958;South Cameroons;;;;;;;;;;;;;x;;
GER_1960;North Cameroons;;;;;;;;;;;;;x;;
FRA_1962;East Cameroons;;;;;;;;;;;;;x;;
FRA_1965;Ubangi-Shari;;;;;;;;;;;;;x;;
FRA_1824;Chad;;;;;;;;;;;;;x;;
FRA_1818;Wadai;;;;;;;;;;;;;x;;
FRA_1813;Niger;;;;;;;;;;;;;x;;
ENG_1923;Yoruba States;;;;;;;;;;;;;x;;
ENG_1931;Niger Delta;;;;;;;;;;;;;x;;
ENG_1934;Igboland;;;;;;;;;;;;;x;;
ENG_1928;Benin;;;;;;;;;;;;;x;;
ENG_1944;Gombe;;;;;;;;;;;;;x;;
ENG_1950;Adamawa;;;;;;;;;;;;;x;;
ENG_1816;Bornu;;;;;;;;;;;;;x;;
SOK_1948;Hausaland;;;;;;;;;;;;;x;;
SOK_1939;Eastern Hausaland;;;;;;;;;;;;;x;;
SOK_1815;Northern Hausaland;;;;;;;;;;;;;x;;
GER_1914;East Togoland;;;;;;;;;;;;;x;;
GER_1916;West Togoland;;;;;;;;;;;;;x;;
FRA_1919;Dahmoney;;;;;;;;;;;;;x;;
ENG_1907;Gold Coast;;;;;;;;;;;;;x;;
ENG_1910;Ashanti;;;;;;;;;;;;;x;;
ENG_1912;Wa;;;;;;;;;;;;;x;;
FRA_1905;Lower Volta;;;;;;;;;;;;;x;;
FRA_1901;Upper Volta;;;;;;;;;;;;;x;;
FRA_1894;East Ivory Coast;;;;;;;;;;;;;x;;
FRA_1895;West Ivory Coast;;;;;;;;;;;;;x;;
FRA_1805;Gao;;;;;;;;;;;;;x;;
FRA_1803;Timbuktu;;;;;;;;;;;;;x;;
FRA_1804;Eastern Mali;;;;;;;;;;;;;x;;
FRA_1800;Western Mali;;;;;;;;;;;;;x;;
FRA_1796;Upper Senegal;;;;;;;;;;;;;x;;
FRA_1792;Casamance;;;;;;;;;;;;;x;;
FRA_1783;Senegal;;;;;;;;;;;;;x;;
POR_1877;Guiné-Bissau;;;;;;;;;;;;;x;;
ENG_1785;Gambia;;;;;;;;;;;;;x;;
LIB_1887;Liberia;;;;;;;;;;;;;x;;
ENG_1884;Sierra Leone;;;;;;;;;;;;;x;;
ALD_1705;Oran;;;;;;;;;;;;;x;;
ALD_1700;Algiers;;;;;;;;;;;;;x;;
